customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,total_charges_num,tenure_group
7590-VHVEG,Female,0,Yes,No,1,No,"No phone service",DSL,No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",29.85,29.85,No,29.85,New
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,"One year",No,"Mailed check",56.95,1889.5,No,1889.50,Loyal
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,"Mailed check",53.85,108.15,Yes,108.15,New
7795-CFOCW,Male,0,No,No,45,No,"No phone service",DSL,Yes,No,Yes,Yes,No,No,"One year",No,"Bank transfer (automatic)",42.30,1840.75,No,1840.75,Loyal
9237-HQITU,Female,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",70.70,151.65,Yes,151.65,New
9305-CDSKC,Female,0,No,No,8,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",99.65,820.5,Yes,820.50,New
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Credit card (automatic)",89.10,1949.4,No,1949.40,Loyal
6713-OKOMC,Female,0,No,No,10,No,"No phone service",DSL,Yes,No,No,No,No,No,Month-to-month,No,"Mailed check",29.75,301.9,No,301.90,New
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",104.80,3046.05,Yes,3046.05,Loyal
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,"One year",No,"Bank transfer (automatic)",56.15,3487.95,No,3487.95,Long-Term
